,,2025,2025,2035,2035,2045,2045,2050,2050
,,min,max,min,max,min,max,min,max
country,carrier,,,,,,,,
DE,onwind,60441.48302,61662.52309,47417.23375,48375.15766,81221.02761,82861.85645,0.1,
DE,offwind-ac,0.1,8322.93021,4836.6466,13376.08307,12594.53165,12848.96663,0.1,
DE,offwind-dc,0,0.1,64403.96862,65705.05890,64403.97667,65705.06710,0.1,
DE,solar,80919.63530,82554.37541,80919.67882,82554.41980,78884.24541,80477.86653,0.2,
DE,solar rooftop,0,0.1,34633.93741,35333.61292,150392.46779,153430.69946,0.2,
LU,onwind,,,,,,,,
LU,solar,,,,,,,,
NL,onwind,,,,,,,,
NL,offwind-ac,,,,,,,,
NL,offwind-dc,,,,,,,,
NL,solar,,,,,,,,
GB,onwind,,,,,,,,
GB,offwind-ac,,,,,,,,
GB,offwind-dc,,,,,,,,
GB,solar,,,,,,,,
IE,onwind,,,,,,,,
IE,offwind-ac,,,,,,,,
IE,offwind-dc,,,,,,,,
IE,solar,,,,,,,,
FR,onwind,,,,,,,,
FR,offwind-ac,,,,,,,,
FR,offwind-dc,,,,,,,,
FR,solar,,,,,,,,
DK,onwind,,,,,,,,
DK,offwind-ac,,,,,,,,
DK,offwind-dc,,,,,,,,
DK,solar,,,,,,,,
BE,onwind,,,,,,,,
BE,offwind-ac,,,,,,,,
BE,offwind-dc,,,,,,,,
BE,solar,,,,,,,,
